Major_Category_en,Sub_Category_en,Major_Category_ja,Sub_Category_ja,Major_Category_ko,Sub_Category_ko,Korean,Japanese,English
Characters,Scarlet Weather Rhapsody,人妖部門,東方緋想天,인요부문,동방비상천,히나나위 텐시,比那名居 天子,Tenshi Hinanawi
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,키스메,キスメ,Kisume
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,쿠로다니 야마메,黒谷 ヤマメ,Yamame Kurodani
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,미즈하시 파르시,水橋 パルスィ,Parsee Mizuhashi
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,호시구마 유기,星熊 勇儀,Yuugi Hoshiguma
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,코메이지 사토리,古明地 さとり,Satori Komeiji
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,카엔뵤 린,火焔猫 燐,Rin Kaenbyou
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,레이우지 우츠호,霊烏路 空,Utsuho Reiuji
Characters,Subterranean Animism,人妖部門,東方地霊殿,인요부문,동방지령전,코메이지 코이시,古明地 こいし,Koishi Komeiji
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,나즈린,ナズーリン,Nazrin
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,타타라 코가사,多々良 小傘,Kogasa Tatara
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,쿠모이 이치린,雲居 一輪,Ichirin Kumoi
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,운잔,雲山,Unzan
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,무라사 미나미츠,村紗 水蜜,Minamitsu Murasa
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,토라마루 쇼,寅丸 星,Shou Toramaru
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,히지리 뱌쿠렌,聖 白蓮,Byakuren Hijiri
Characters,Undefined Fantastic Object,人妖部門,東方星蓮船,인요부문,동방성련선,호쥬 누에,封獣 ぬえ,Nue Houjuu
Characters,Touhou Hisoutensoku,人妖部門,東方非想天則,인요부문,동방비상천칙,오오나마즈,大ナマズ,Giant Catfish
Characters,Double Spoiler,人妖部門,ダブルスポイラー,인요부문,더블 스포일러,히메카이도 하타테,姫海棠 はたて,Hatate Himekaidou
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,카소다니 쿄코,幽谷 響子,Kyouko Kasodani
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,미야코 요시카,宮古 芳香,Yoshika Miyako
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,곽청아,霍 青娥,Seiga Kaku
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,소가노 토지코,蘇我 屠自古,Soga no Tojiko
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,모노노베노 후토,物部 布都,Mononobe no Futo
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,토요사토미미노 미코,豊聡耳 神子,Toyosatomimi no Miko
Characters,Ten Desires,人妖部門,東方神霊廟,인요부문,동방신령묘,후타츠이와 마미조,二ッ岩 マミゾウ,Mamizou Futatsuiwa
Characters,Hopeless Masquerade,人妖部門,東方心綺楼,인요부문,동방심기루,하타노 코코로,秦 こころ,Hata no Kokoro
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,와카사기히메,わかさぎ姫,Wakasagihime
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,세키반키,赤蛮奇,Sekibanki
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,이마이즈미 카게로,今泉 影狼,Kagerou Imaizumi
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,츠쿠모 벤벤,九十九 弁々,Benben Tsukumo
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,츠쿠모 야츠하시,九十九 八橋,Yatsuhashi Tsukumo
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,키진 세이자,鬼人 正邪,Seija Kijin
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,스쿠나 신묘마루,少名 針妙丸,Shinmyoumaru Sukuna
Characters,Double Dealing Character,人妖部門,東方輝針城,인요부문,동방휘침성,호리카와 라이코,堀川 雷鼓,Raiko Horikawa
Characters,Urban Legend in Limbo,人妖部門,東方深秘録,인요부문,동방심비록,우사미 스미레코,宇佐見 菫子,Sumireko Usami
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,세이란,清蘭,Seiran
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,링고,鈴瑚,Ringo
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,도레미 스위트,ドレミー・スイート,Doremy Sweet
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,키신 사구메,稀神 サグメ,Sagume Kishin
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,클라운피스,クラウンピース,Clownpiece
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,순호,純狐,Junko
Characters,Legacy of Lunatic Kingdom,人妖部門,東方紺珠伝,인요부문,동방감주전,헤카티아 라피스라줄리,ヘカーティア・ラピスラズリ,Hecatia Lapislazuli
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,이터니티 라바,エタニティラルバ,Eternity Larva
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,사카타 네무노,坂田ネムノ,Nemuno Sakata
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,코마노 아운,高麗野あうん,Aunn Komano
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,야타데라 나루미,矢田寺成美,Narumi Yatadera
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,니시다 사토노,爾子田里乃,Satono Nishida
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,테이레이다 마이,丁礼田舞,Mai Teireida
Characters,Hidden Star in Four Seasons,人妖部門,東方天空璋,인요부문,동방천공장,마타라 오키나,摩多羅隠岐奈,Okina Matara
Characters,Antinomy of Common Flowers,人妖部門,東方憑依華,인요부문,동방빙의화,요리가미 조온,依神女苑,Joon Yorigami
Characters,Antinomy of Common Flowers,人妖部門,東方憑依華,인요부문,동방빙의화,요리가미 시온,依神紫苑,Shion Yorigami
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,에비스 에이카,戎 瓔花,Eika Ebisu
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,우시자키 우루미,牛崎 潤美,Urumi Ushizaki
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,니와타리 쿠타카,庭渡 久侘歌,Kutaka Niwatari
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,킷초 야치에,吉弔 八千慧,Yachie Kicchou
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,조토구 마유미,杖刀偶 磨弓,Mayumi Joutouguu
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,하니야스신 케이키,埴安神 袿姫,Keiki Haniyasushin
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,쿠로코마 사키,驪駒 早鬼,Saki Kurokoma
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,オオカミ霊,オオカミ霊,Wolf Spirit
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,カワウソ霊,カワウソ霊,Otter Spirit
Characters,Wily Beast and Weakest Creature,人妖部門,東方鬼形獣,인요부문,동방귀형수,オオワシ霊,オオワシ霊,Eagle Spirit
