Major_Category_ko,Sub_Category_ko,Korean,Major_Category_ja,Sub_Category_ja,Japanese,Major_Category_en,Sub_Category_en,English
인요부문,동방비상천,히나나위 텐시,人妖部門,東方緋想天,比那名居 天子,Characters,Scarlet Weather Rhapsody,Tenshi Hinanawi
인요부문,동방지령전,키스메,人妖部門,東方地霊殿,キスメ,Characters,Subterranean Animism,Kisume
인요부문,동방지령전,쿠로다니 야마메,人妖部門,東方地霊殿,黒谷 ヤマメ,Characters,Subterranean Animism,Yamame Kurodani
인요부문,동방지령전,미즈하시 파르시,人妖部門,東方地霊殿,水橋 パルスィ,Characters,Subterranean Animism,Parsee Mizuhashi
인요부문,동방지령전,호시구마 유기,人妖部門,東方地霊殿,星熊 勇儀,Characters,Subterranean Animism,Yuugi Hoshiguma
인요부문,동방지령전,코메이지 사토리,人妖部門,東方地霊殿,古明地 さとり,Characters,Subterranean Animism,Satori Komeiji
인요부문,동방지령전,카엔뵤 린,人妖部門,東方地霊殿,火焔猫 燐,Characters,Subterranean Animism,Rin Kaenbyou
인요부문,동방지령전,레이우지 우츠호,人妖部門,東方地霊殿,霊烏路 空,Characters,Subterranean Animism,Utsuho Reiuji
인요부문,동방지령전,코메이지 코이시,人妖部門,東方地霊殿,古明地 こいし,Characters,Subterranean Animism,Koishi Komeiji
인요부문,동방성련선,나즈린,人妖部門,東方星蓮船,ナズーリン,Characters,Undefined Fantastic Object,Nazrin
인요부문,동방성련선,타타라 코가사,人妖部門,東方星蓮船,多々良 小傘,Characters,Undefined Fantastic Object,Kogasa Tatara
인요부문,동방성련선,쿠모이 이치린,人妖部門,東方星蓮船,雲居 一輪,Characters,Undefined Fantastic Object,Ichirin Kumoi
인요부문,동방성련선,운잔,人妖部門,東方星蓮船,雲山,Characters,Undefined Fantastic Object,Unzan
인요부문,동방성련선,무라사 미나미츠,人妖部門,東方星蓮船,村紗 水蜜,Characters,Undefined Fantastic Object,Minamitsu Murasa
인요부문,동방성련선,토라마루 쇼,人妖部門,東方星蓮船,寅丸 星,Characters,Undefined Fantastic Object,Shou Toramaru
인요부문,동방성련선,히지리 뱌쿠렌,人妖部門,東方星蓮船,聖 白蓮,Characters,Undefined Fantastic Object,Byakuren Hijiri
인요부문,동방성련선,호쥬 누에,人妖部門,東方星蓮船,封獣 ぬえ,Characters,Undefined Fantastic Object,Nue Houjuu
인요부문,동방비상천칙,오오나마즈,人妖部門,東方非想天則,大ナマズ,Characters,Touhou Hisoutensoku,Giant Catfish
인요부문,더블 스포일러,히메카이도 하타테,人妖部門,ダブルスポイラー,姫海棠 はたて,Characters,Double Spoiler,Hatate Himekaidou
인요부문,동방신령묘,카소다니 쿄코,人妖部門,東方神霊廟,幽谷 響子,Characters,Ten Desires,Kyouko Kasodani
인요부문,동방신령묘,미야코 요시카,人妖部門,東方神霊廟,宮古 芳香,Characters,Ten Desires,Yoshika Miyako
인요부문,동방신령묘,곽청아,人妖部門,東方神霊廟,霍 青娥,Characters,Ten Desires,Seiga Kaku
인요부문,동방신령묘,소가노 토지코,人妖部門,東方神霊廟,蘇我 屠自古,Characters,Ten Desires,Soga no Tojiko
인요부문,동방신령묘,모노노베노 후토,人妖部門,東方神霊廟,物部 布都,Characters,Ten Desires,Mononobe no Futo
인요부문,동방신령묘,토요사토미미노 미코,人妖部門,東方神霊廟,豊聡耳 神子,Characters,Ten Desires,Toyosatomimi no Miko
인요부문,동방신령묘,후타츠이와 마미조,人妖部門,東方神霊廟,二ッ岩 マミゾウ,Characters,Ten Desires,Mamizou Futatsuiwa
인요부문,동방심기루,하타노 코코로,人妖部門,東方心綺楼,秦 こころ,Characters,Hopeless Masquerade,Hata no Kokoro
인요부문,동방휘침성,와카사기히메,人妖部門,東方輝針城,わかさぎ姫,Characters,Double Dealing Character,Wakasagihime
인요부문,동방휘침성,세키반키,人妖部門,東方輝針城,赤蛮奇,Characters,Double Dealing Character,Sekibanki
인요부문,동방휘침성,이마이즈미 카게로,人妖部門,東方輝針城,今泉 影狼,Characters,Double Dealing Character,Kagerou Imaizumi
인요부문,동방휘침성,츠쿠모 벤벤,人妖部門,東方輝針城,九十九 弁々,Characters,Double Dealing Character,Benben Tsukumo
인요부문,동방휘침성,츠쿠모 야츠하시,人妖部門,東方輝針城,九十九 八橋,Characters,Double Dealing Character,Yatsuhashi Tsukumo
인요부문,동방휘침성,키진 세이자,人妖部門,東方輝針城,鬼人 正邪,Characters,Double Dealing Character,Seija Kijin
인요부문,동방휘침성,스쿠나 신묘마루,人妖部門,東方輝針城,少名 針妙丸,Characters,Double Dealing Character,Shinmyoumaru Sukuna
인요부문,동방휘침성,호리카와 라이코,人妖部門,東方輝針城,堀川 雷鼓,Characters,Double Dealing Character,Raiko Horikawa
인요부문,동방심비록,우사미 스미레코,人妖部門,東方深秘録,宇佐見 菫子,Characters,Urban Legend in Limbo,Sumireko Usami
인요부문,동방감주전,세이란,人妖部門,東方紺珠伝,清蘭,Characters,Legacy of Lunatic Kingdom,Seiran
인요부문,동방감주전,링고,人妖部門,東方紺珠伝,鈴瑚,Characters,Legacy of Lunatic Kingdom,Ringo
인요부문,동방감주전,도레미 스위트,人妖部門,東方紺珠伝,ドレミー・スイート,Characters,Legacy of Lunatic Kingdom,Doremy Sweet
인요부문,동방감주전,키신 사구메,人妖部門,東方紺珠伝,稀神 サグメ,Characters,Legacy of Lunatic Kingdom,Sagume Kishin
인요부문,동방감주전,클라운피스,人妖部門,東方紺珠伝,クラウンピース,Characters,Legacy of Lunatic Kingdom,Clownpiece
인요부문,동방감주전,순호,人妖部門,東方紺珠伝,純狐,Characters,Legacy of Lunatic Kingdom,Junko
인요부문,동방감주전,헤카티아 라피스라줄리,人妖部門,東方紺珠伝,ヘカーティア・ラピスラズリ,Characters,Legacy of Lunatic Kingdom,Hecatia Lapislazuli
인요부문,동방천공장,이터니티 라바,人妖部門,東方天空璋,エタニティラルバ,Characters,Hidden Star in Four Seasons,Eternity Larva
인요부문,동방천공장,사카타 네무노,人妖部門,東方天空璋,坂田ネムノ,Characters,Hidden Star in Four Seasons,Nemuno Sakata
인요부문,동방천공장,코마노 아운,人妖部門,東方天空璋,高麗野あうん,Characters,Hidden Star in Four Seasons,Aunn Komano
인요부문,동방천공장,야타데라 나루미,人妖部門,東方天空璋,矢田寺成美,Characters,Hidden Star in Four Seasons,Narumi Yatadera
인요부문,동방천공장,니시다 사토노,人妖部門,東方天空璋,爾子田里乃,Characters,Hidden Star in Four Seasons,Satono Nishida
인요부문,동방천공장,테이레이다 마이,人妖部門,東方天空璋,丁礼田舞,Characters,Hidden Star in Four Seasons,Mai Teireida
인요부문,동방천공장,마타라 오키나,人妖部門,東方天空璋,摩多羅隠岐奈,Characters,Hidden Star in Four Seasons,Okina Matara
인요부문,동방빙의화,요리가미 조온,人妖部門,東方憑依華,依神女苑,Characters,Antinomy of Common Flowers,Joon Yorigami
인요부문,동방빙의화,요리가미 시온,人妖部門,東方憑依華,依神紫苑,Characters,Antinomy of Common Flowers,Shion Yorigami
인요부문,동방귀형수,에비스 에이카,人妖部門,東方鬼形獣,戎 瓔花,Characters,Wily Beast and Weakest Creature,Eika Ebisu
인요부문,동방귀형수,우시자키 우루미,人妖部門,東方鬼形獣,牛崎 潤美,Characters,Wily Beast and Weakest Creature,Urumi Ushizaki
인요부문,동방귀형수,니와타리 쿠타카,人妖部門,東方鬼形獣,庭渡 久侘歌,Characters,Wily Beast and Weakest Creature,Kutaka Niwatari
인요부문,동방귀형수,킷초 야치에,人妖部門,東方鬼形獣,吉弔 八千慧,Characters,Wily Beast and Weakest Creature,Yachie Kicchou
인요부문,동방귀형수,조토구 마유미,人妖部門,東方鬼形獣,杖刀偶 磨弓,Characters,Wily Beast and Weakest Creature,Mayumi Joutouguu
인요부문,동방귀형수,하니야스신 케이키,人妖部門,東方鬼形獣,埴安神 袿姫,Characters,Wily Beast and Weakest Creature,Keiki Haniyasushin
인요부문,동방귀형수,쿠로코마 사키,人妖部門,東方鬼形獣,驪駒 早鬼,Characters,Wily Beast and Weakest Creature,Saki Kurokoma
인요부문,동방귀형수,늑대령,人妖部門,東方鬼形獣,オオカミ霊,Characters,Wily Beast and Weakest Creature,Wolf Spirit
인요부문,동방귀형수,수달령,人妖部門,東方鬼形獣,カワウソ霊,Characters,Wily Beast and Weakest Creature,Otter Spirit
인요부문,동방귀형수,참수리령,人妖部門,東方鬼形獣,オオワシ霊,Characters,Wily Beast and Weakest Creature,Eagle Spirit
인요부문,동방홍룡동,고토쿠지 미케,人妖部門,東方虹龍洞,豪徳寺 ミケ,Characters,Unconnected Marketeers,Mike Goutokuji
인요부문,동방홍룡동,야마시로 타카네,人妖部門,東方虹龍洞,山城 たかね,Characters,Unconnected Marketeers,Takane Yamashiro
인요부문,동방홍룡동,코마쿠사 산뇨,人妖部門,東方虹龍洞,駒草 山如,Characters,Unconnected Marketeers,Sannyo Komakusa
인요부문,동방홍룡동,타마츠쿠리 미스마루,人妖部門,東方虹龍洞,玉造 魅須丸,Characters,Unconnected Marketeers,Misumaru Tamatsukuri
인요부문,동방홍룡동,쿠다마키 츠카사,人妖部門,東方虹龍洞,菅牧 典,Characters,Unconnected Marketeers,Tsukasa Kudamaki
인요부문,동방홍룡동,이즈나마루 메구무,人妖部門,東方虹龍洞,飯綱丸 龍,Characters,Unconnected Marketeers,Megumu Iizunamaru
인요부문,동방홍룡동,텐큐 치마타,人妖部門,東方虹龍洞,天弓 千亦,Characters,Unconnected Marketeers,Chimata Tenkyuu
인요부문,동방홍룡동,히메무시 모모요,人妖部門,東方虹龍洞,姫虫 百々世,Characters,Unconnected Marketeers,Momoyo Himemushi
