대분류	소분류	한국어	일본어	영어
人妖部門	東方輝針城	츠쿠모 야츠하시	九十九 八橋	Yatsuhashi Tsukumo
人妖部門	東方輝針城	키진 세이자	鬼人 正邪	Seija Kijin
人妖部門	東方輝針城	스쿠나 신묘마루	少名 針妙丸	Shinmyoumaru Sukuna
人妖部門	東方輝針城	호리카와 라이코	堀川 雷鼓	Raiko Horikawa
人妖部門	東方深秘録	우사미 스미레코	宇佐見 菫子	Sumireko Usami
人妖部門	東方紺珠伝	세이란	清蘭	Seiran
人妖部門	東方紺珠伝	링고	鈴瑚	Ringo
人妖部門	東方紺珠伝	도레미 스위트	ドレミー・スイート	Doremy Sweet
人妖部門	東方紺珠伝	키신 사구메	稀神 サグメ	Sagume Kishin
人妖部門	東方紺珠伝	클라운피스	クラウンピース	Clownpiece
人妖部門	東方紺珠伝	순호	純狐	Junko
人妖部門	東方紺珠伝	헤카티아 라피스라줄리	ヘカーティア・ラピスラズリ	Hecatia Lapislazuli
人妖部門	東方天空璋	이터니티 라바	エタニティラルバ	Eternity Larva
人妖部門	東方天空璋	사카타 네무노	坂田ネムノ	Nemuno Sakata
人妖部門	東方天空璋	코마노 아운	高麗野あうん	Aunn Komano
人妖部門	東方天空璋	야타데라 나루미	矢田寺成美	Narumi Yatadera
人妖部門	東方天空璋	니시다 사토노	爾子田里乃	Satono Nishida
人妖部門	東方天空璋	테이레이다 마이	丁礼田舞	Mai Teireida
人妖部門	東方天空璋	마타라 오키나	摩多羅隠岐奈	Okina Matara
人妖部門	東方憑依華	요리가미 조온	依神女苑	Joon Yorigami
人妖部門	東方憑依華	요리가미 시온	依神紫苑	Shion Yorigami
人妖部門	東方鬼形獣	에비스 에이카	戎 瓔花	Eika Ebisu
人妖部門	東方鬼形獣	우시자키 우루미	牛崎 潤美	Urumi Ushizaki
人妖部門	東方鬼形獣	니와타리 쿠타카	庭渡 久侘歌	Kutaka Niwatari
人妖部門	東方鬼形獣	킷초 야치에	吉弔 八千慧	Yachie Kicchou
人妖部門	東方鬼形獣	조토구 마유미	杖刀偶 磨弓	Mayumi Joutouguu
人妖部門	東方鬼形獣	하니야스신 케이키	埴安神 袿姫	Keiki Haniyasushin
人妖部門	東方鬼形獣	쿠로코마 사키	驪駒 早鬼	Saki Kurokoma
人妖部門	東方鬼形獣	オオカミ霊	オオカミ霊	Wolf Spirit
人妖部門	東方鬼形獣	カワウソ霊	カワウソ霊	Otter Spirit
人妖部門	東方鬼形獣	オオワシ霊	オオワシ霊	Eagle Spirit
人妖部門	東方虹龍洞	고토쿠지 미케	豪徳寺 ミケ	Mike Goutokuji
人妖部門	東方虹龍洞	야마시로 타카네	山城 たかね	Takane Yamashiro
人妖部門	東方虹龍洞	코마쿠사 산뇨	駒草 山如	Sannyo Komakusa
人妖部門	東方虹龍洞	타마츠쿠리 미스마루	玉造 魅須丸	Misumaru Tamatsukuri
人妖部門	東方虹龍洞	쿠다마키 츠카사	菅牧 典	Tsukasa Kudamaki
人妖部門	東方虹龍洞	이즈나마루 메구무	飯綱丸 龍	Megumu Iizunamaru
人妖部門	東方虹龍洞	텐큐 치마타	天弓 千亦	Chimata Tenkyuu
人妖部門	東方虹龍洞	히메무시 모모요	姫虫 百々世	Momoyo Himemushi
人妖部門	東方剛欲異聞	토테츠 유마	饕餮 尤魔	Yuma Toutetsu
人妖部門	東方獣王園	손미천	孫 美天	Biten Son
人妖部門	東方獣王園	미츠가시라 에노코	三頭 慧ノ子	Enoko Mitsugashira
人妖部門	東方獣王園	텐카진 치야리	天火人 ちやり	Chiyari Tenkajin
人妖部門	東方獣王園	요모츠 히사미	豫母都 日狭美	Hisami Yomotsu
人妖部門	東方獣王園	닛파쿠 잔무	日白 残無	Zanmu Nippaku
人妖部門	東方錦上京	치리즈카 우바메	塵塚 ウバメ	Ubame Chirizuka
人妖部門	東方錦上京	호쥬 치미	封獣 チミ	Chimi Houju
人妖部門	東方錦上京	미치가미 나레코	道神 馴子	Nareko Michigami
人妖部門	東方錦上京	유이만 아사마	ユイマン・ 浅間	Yuiman Asama
人妖部門	東方錦上京	이와나가 아리야	磐永 阿梨夜	Ariya Iwanaga
人妖部門	東方錦上京	와타리 니나	渡里 ニナ	Nina Watari
人妖部門	東方靈異伝	신교쿠	シンギョク	SinGyoku Gatekeeper
人妖部門	東方靈異伝	유겐마간	ユウゲンマガン	YuugenMagan Evil Eyes
人妖部門	東方靈異伝	엘리스	エリス	Elis Innocent Devil
人妖部門	東方靈異伝	사리엘	サリエル	Sariel Angel of Death
人妖部門	東方靈異伝	키쿠리	キクリ	Kikuri Hellish Moon
人妖部門	東方靈異伝	콘가라	コンガラ	Konngara Astral Knight
人妖部門	東方封魔録	겐 영감님	玄爺	Genjii
人妖部門	東方封魔録	리카	里香	Rika
人妖部門	東方封魔録	메이라	明羅	Meira
人妖部門	東方封魔録	미마	魅魔	Mima Revengeful Ghost
人妖部門	東方夢時空	엘렌	エレン	Ellen
人妖部門	東方夢時空	코토히메	小兎姫	Kotohime
人妖部門	東方夢時空	카나 아나베랄	カナ・アナベラル	Kana Anaberal
人妖部門	東方夢時空	아사쿠라 리카코	朝倉 理香子	Rikako Asakura
人妖部門	東方夢時空	키타시라카와 치유리	北白河 ちゆり	Chiyuri Kitashirakawa
人妖部門	東方夢時空	오카자키 유메미	岡崎 夢美	Yumemi Okazaki
人妖部門	東方幻想郷	오렌지	オレンジ	Orange
人妖部門	東方幻想郷	쿠루미	くるみ	Kurumi
人妖部門	東方幻想郷	엘리	エリー	Elly
人妖部門	東方幻想郷	무게츠	夢月	Mugetsu
人妖部門	東方幻想郷	겐게츠	幻月	Gengetsu
人妖部門	東方怪綺談	사라	サラ	Sara
人妖部門	東方怪綺談	루이즈	ルイズ	Louise
人妖部門	東方怪綺談	유키	ユキ	Yuki
人妖部門	東方怪綺談	마이	マイ	Mai
人妖部門	東方怪綺談	유메코	夢子	Yumeko
人妖部門	東方怪綺談	신키	神綺	Shinki
人妖部門	蓬莱人形	자켓소녀	蓬莱人形ジャケットイラストの娘	The girl on the Houral Doll jacket
人妖部門	蓬莱人形	蓬莱人形レーベルイラストの娘	蓬莱人形レーベルイラストの娘	The girl on the Houral Doll label
人妖部門	秘封倶楽部	우사미 렌코	宇佐見 蓮子	Renko Usami
人妖部門	秘封倶楽部	마에리베리 한	マエリベリー・ハーン	Maribel Hearn
人妖部門	東方求聞史紀	히에다노 아큐	稗田 阿求	Hieda no Akyuu
人妖部門	東方香霖堂	모리치카 린노스케	森近 霖之助	Rinnosuke Morichika
人妖部門	東方香霖堂	ライカ	ライカ	Laika
人妖部門	東方三月精	서니 밀크	サニーミルク	Sunny Milk
人妖部門	東方三月精	루나 차일드	ルナチャイルド	Luna Child
人妖部門	東方三月精	스타 사파이어	スターサファイア	Star Sapphire
人妖部門	東方儚月抄	와타츠키노 토요히메	綿月 豊姫	Watatsuki no Toyohime
人妖部門	東方儚月抄	와타츠키노 요리히메	綿月 依姫	Watatsuki no Yorihime
人妖部門	東方儚月抄	레이센	レイセン	Reisen
人妖部門	東方茨歌仙	이바라키 카센	茨木 華扇	Kasen Ibaraki
人妖部門	東方茨歌仙	影華扇（断善修悪の怪腕 - 茨木童子の腕）	影華扇（断善修悪の怪腕 - 茨木童子の腕）	Kasen's arm
人妖部門	東方茨歌仙	鬼華扇（奸佞邪智の鬼）	鬼華扇（奸佞邪智の鬼）	Kasen's true form
人妖部門	東方鈴奈庵	모토오리 코스즈	本居 小鈴	Kosuzu Motoori
