대분류	소분류	한국어	일본어	영어
音楽部門	東方萃夢想	동방요요몽 ~ Ancient Temple	東方妖々夢　～ Ancient Temple	Eastern Ghostly Dream ~ Ancient Temple
音楽部門	東方萃夢想	죽은 왕녀를 위한 셉텟	亡き王女の為のセプテット	Septette for a Dead Princess
音楽部門	東方萃夢想	유아하게 피어라, 묵염의 벚꽃 ~ Border of Life	幽雅に咲かせ、墨染の桜　～ Border of Life	Bloom Nobly, Ink-Black Cherry Blossom ~ Border of Life
音楽部門	東方萃夢想	Demystify Feast	Demystify Feast	Demystify Feast
音楽部門	東方萃夢想	밤이 내려온다 ~ Evening Star	夜が降りてくる　～ Evening Star	Night Falls ~ Evening Star
音楽部門	東方萃夢想	동화나라의 오니들의 섬 ~ Missing Power	御伽の国の鬼が島　～ Missing Power	The Fabled Land of Onigashima ~ Missing Power
音楽部門	東方萃夢想	여름이 끝나는 날	夏明き	End of Summer
音楽部門	東方萃夢想	동방췌몽상	東方萃夢想	Eastern Forgathering Dream
音楽部門	東方萃夢想	마소	魔所	Demonic Place
音楽部門	東方萃夢想	월륜	月輪	The Moon
音楽部門	東方萃夢想	편참	遍参	Wanderings
音楽部門	東方萃夢想	이심	裏心	Inner Heart
音楽部門	東方萃夢想	Intermezzo	Intermezzo	Intermezzo
音楽部門	東方萃夢想	동풍	あゆのかぜ	Eastern Wind
音楽部門	東方萃夢想	삼한	森閑	Silence
音楽部門	東方萃夢想	앙공	仰空	Skygazer
音楽部門	東方萃夢想	유경	幽境	Solitary Place
音楽部門	東方萃夢想	진객	珍客	Unexpected Visitor
音楽部門	東方萃夢想	홍야	紅夜	Scarlet Night
音楽部門	東方萃夢想	전신	戦迅	Swift Battle
音楽部門	東方萃夢想	화기	禍機	Bad Omen
音楽部門	東方萃夢想	쇄월	砕月	Broken Moon
音楽部門	東方花映塚	화영총 ~ Higan Retour	花映塚　～ Higan Retour	Flower Reflecting Mound ~ Higan Retour
音楽部門	東方花映塚	봄빛 오솔길 ~ Colorful Path	春色小径　～ Colorful Path	Spring Lane ~ Colorful Path
音楽部門	東方花映塚	오리엔탈 다크플라이트	オリエンタルダークフライト	Oriental Dark Flight
音楽部門	東方花映塚	플라워링 나이트	フラワリングナイト	Flowering Night
音楽部門	東方花映塚	동방요요몽 ~ Ancient Temple	東方妖々夢　～ Ancient Temple	Eastern Ghostly Dream ~ Ancient Temple
音楽部門	東方花映塚	광기의 눈동자 ~ Invisible Full Moon	狂気の瞳　～ Invisible Full Moon	Lunatic Eyes ~ Invisible Full Moon
音楽部門	東方花映塚	말괄량이 연랑의 모험	おてんば恋娘の冒険	Adventure of the Lovestruck Tomboy
音楽部門	東方花映塚	유령악단 ~ Phantom Ensemble	幽霊楽団　～ Phantom Ensemble	Phantom Band ~ Phantom Ensemble
音楽部門	東方花映塚	이젠 노래밖에 들리지 않아 ~ Flower Mix	もう歌しか聞こえない　～ Flower Mix	Deaf to All but the Song ~ Flower Mix
音楽部門	東方花映塚	우사님의 새하얀 깃발	お宇佐さまの素い幡	White Flag of Usa Shrine
音楽部門	東方花映塚	풍신소녀 (Short Version)	風神少女　 (Short Version)	Wind God Girl (Short Version)
音楽部門	東方花映塚	포이즌 바디 ~ Forsaken Doll	ポイズンボディ　～ Forsaken Doll	Poison Body ~ Forsaken Doll
音楽部門	東方花映塚	금석환상향 ~ Flower Land	今昔幻想郷　～ Flower Land	Gensokyo, Past and Present ~ Flower Land
音楽部門	東方花映塚	피안귀항 ~ Riverside View	彼岸帰航　～ Riverside View	Higan Retour ~ Riverside View
音楽部門	東方花映塚	60년만의 동방재판 ~ Fate of Sixty Years	六十年目の東方裁判　～ Fate of Sixty Years	Eastern Judgement in the Sixtieth Year ~ Fate of Sixty Years
音楽部門	東方花映塚	꽃이 비치는 무덤	花の映る塚	The Mound Where the Flowers Reflect
音楽部門	東方花映塚	차안의 언덕	此岸の塚	Mound of Shigan
音楽部門	東方花映塚	꽃은 환상대로	花は幻想のままに	The Flowers Remain in Fantasy
音楽部門	東方花映塚	혼의 꽃 ~ Another Dream...	魂の花　～ Another Dream...	Flower of Soul ~ Another Dream...
音楽部門	東方文花帖	텐구의 수첩 ~ Mysterious Note	天狗の手帖　～ Mysterious Note	Tengu's Notebook ~ Mysterious Note
音楽部門	東方文花帖	바람의 순환 ~ Wind Tour	風の循環　～ Wind Tour	Wind Circulation ~ Wind Tour
音楽部門	東方文花帖	텐구가 보고 있다 ~ Black Eyes	天狗が見ている　～ Black Eyes	Tengu Is Watching ~ Black Eyes
音楽部門	東方文花帖	동쪽 나라의 잠들지 않는 밤	東の国の眠らない夜	Sleepless Night of the Eastern Country
音楽部門	東方文花帖	레트로스펙티브 교토	レトロスペクティブ京都	Retrospective Kyoto
音楽部門	東方文花帖	풍신소녀	風神少女	Wind God Girl
音楽部門	東方風神録	봉인된 신들	封印されし神々	Sealed Gods
音楽部門	東方風神録	인간을 사랑한 신 ~ Romantic Fall	人恋し神様　～ Romantic Fall	A God That Misses People ~ Romantic Fall
音楽部門	東方風神録	이나다히메님께 야단맞으니까	稲田姫様に叱られるから	Because Princess Inada is Scolding Me
音楽部門	東方風神録	재앙신께서 다니시는 길 ~ Dark Road	厄神様の通り道　～ Dark Road	The Road of the Misfortune God ~ Dark Road
音楽部門	東方風神録	운명의 다크사이드	運命のダークサイド	Dark Side of Fate
音楽部門	東方風神録	신들이 사랑한 환상향	神々が恋した幻想郷	The Gensokyo the Gods Loved
音楽部門	東方風神録	아쿠타가와 류노스케의 캇파 ~ Candid Friend	芥川龍之介の河童　～ Candid Friend	"Akutagawa Ryuunosuke's ""Kappa"" ~ Candid Friend"
音楽部門	東方風神録	폴 오브 폴 ~ 가을다워지는 폭포	フォールオブフォール　～ 秋めく滝	Fall of Fall ~ Autumnal Waterfall
音楽部門	東方風神録	요괴의 산 ~ Mysterious Mountain	妖怪の山　～ Mysterious Mountain	Youkai Mountain ~ Mysterious Mountain
音楽部門	東方風神録	소녀가 본 일본의 원풍경	少女が見た日本の原風景	The Primal Scene of Japan the Girl Saw
音楽部門	東方風神録	신앙은 덧없는 인간을 위해	信仰は儚き人間の為に	Faith Is for the Transient People
音楽部門	東方風神録	기둥의 묘지 ~ Grave of Being	御柱の墓場　～ Grave of Being	Cemetery of Onbashira ~ Grave of Being
音楽部門	東方風神録	신성하고 장엄한 옛 전장 ~ Suwa Foughten Field	神さびた古戦場　～ Suwa Foughten Field	The Venerable Ancient Battlefield ~ Suwa Foughten Field
音楽部門	東方風神録	내일은 휴일, 어제는 평일	明日ハレの日、ケの昨日	Tomorrow Will Be Special, Yesterday Was Not
音楽部門	東方風神録	네이티브 페이스	ネイティブフェイス	Native Faith
音楽部門	東方風神録	산기슭의 신사	麓の神社	Shrine at the Foot of the Mountain
音楽部門	東方風神録	신은 은혜의 비를 내리니 ~ Sylphid Dream	神は恵みの雨を降らす　～ Sylphid Dream	The Gods Give Us Blessed Rain ~ Sylphid Dream
音楽部門	東方風神録	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	東方緋想天	비상천	緋想天	Heaven of Scarlet Perception
音楽部門	東方緋想天	일상좌와	日常坐臥	Usual Days
音楽部門	東方緋想天	땅의 색은 노란색	地の色は黄色	The Ground's Color is Yellow
音楽部門	東方緋想天	갑론을박	甲論乙駁	Argue for and Against
音楽部門	東方緋想天	풍광명미	風光明媚	Beautiful Nature Sight
音楽部門	東方緋想天	향기나는 수엽화	香る樹葉花	Fragrant Plants
音楽部門	東方緋想天	춤추는 물보라	踊る水飛沫	Dancing Water Spray
音楽部門	東方緋想天	이어구승	以魚駆蠅	Swing a Fish to Drive Away Flies
音楽部門	東方緋想天	방종불기	放縦不羈	Free and Easy
音楽部門	東方緋想天	비웃음의 유희	嘲りの遊戯	Ridiculous Game
音楽部門	東方緋想天	냉음한취	冷吟閑酔	Drunk as I Like
音楽部門	東方緋想天	운외창천	雲外蒼天	Skies Beyond the Clouds
音楽部門	東方緋想天	검은 바다에 붉음을 ~ Legendary Fish	黒い海に紅く　～ Legendary Fish	Crimson in the Black Sea ~ Legendary Fish
音楽部門	東方緋想天	천의무봉	天衣無縫	Flawless as Clothing of the Celestials
音楽部門	東方緋想天	유정천변 ~ Wonderful Heaven	有頂天変　～ Wonderful Heaven	Catastrophe in Bhavaagra ~ Wonderful Heaven
音楽部門	東方緋想天	유심지의 유정천	幼心地の有頂天	Bhavaagra As Seen Through a Child's Mind
音楽部門	東方緋想天	모색창연	暮色蒼然	Darkening Dusk
音楽部門	東方緋想天	동방비상천	東方緋想天	Eastern Heaven of Scarlet Perception
音楽部門	東方緋想天	동방요연담	東方妖恋談	Eastern Mystical Tale of Romance
音楽部門	東方緋想天	별의 그릇 ~ Casket of Star	星の器　～ Casket of Star	Vessel of Stars ~ Casket of Star
音楽部門	東方緋想天	플라워링 나이트	フラワリングナイト	Flowering Night
音楽部門	東方緋想天	부쿠레슈티의 인형사	ブクレシュティの人形師	The Doll Maker of Bucuresti
音楽部門	東方緋想天	히로아리, 괴조를 쏘다 ~ Till When?	広有射怪鳥事　～ Till When?	Hiroari Shoots a Strange Bird ~ Till When?
音楽部門	東方緋想天	락드 걸 ~ 소녀밀실	ラクトガール　～ 少女密室	Locked Girl ~ The Girl's Sealed Room
音楽部門	東方緋想天	유아하게 피어라, 묵염의 벚꽃 ~ Border of Life	幽雅に咲かせ、墨染の桜　～ Border of Life	Bloom Nobly, Ink-Black Cherry Blossom ~ Border of Life
音楽部門	東方緋想天	죽은 왕녀를 위한 셉텟	亡き王女の為のセプテット	Septette for a Dead Princess
音楽部門	東方緋想天	밤이 내려온다	夜が降りてくる	Night Falls
音楽部門	東方緋想天	쇄월	砕月	Broken Moon
音楽部門	東方緋想天	광기의 눈동자 ~ Invisible Full Moon	狂気の瞳　～ Invisible Full Moon	Lunatic Eyes ~ Invisible Full Moon
音楽部門	東方緋想天	풍신소녀	風神少女	Wind God Girl
音楽部門	東方緋想天	피안귀항 ~ Riverside View	彼岸帰航　～ Riverside View	Higan Retour ~ Riverside View
音楽部門	東方地霊殿	지령들의 기상	地霊達の起床	Awakening of the Earth Spirits
音楽部門	東方地霊殿	어둠의 풍혈	暗闇の風穴	The Dark Blowhole
音楽部門	東方地霊殿	봉인당한 요괴 ~ Lost Place	封じられた妖怪　～ Lost Place	The Sealed-Away Youkai ~ Lost Place
音楽部門	東方地霊殿	건너는 발길이 끊어진 다리	渡る者の途絶えた橋	The Bridge People No Longer Cross
音楽部門	東方地霊殿	녹안의 젤러시	緑眼のジェラシー	Green-Eyed Jealousy
音楽部門	東方地霊殿	옛 지옥 길거리를 가다	旧地獄街道を行く	Walking the Streets of a Former Hell
音楽部門	東方地霊殿	꽃의 술잔 오오에야마	華のさかづき大江山	A Flower-Studded Sake Dish on Mt. Ooe
音楽部門	東方地霊殿	하트펠트 팬시	ハートフェルトファンシー	Heartfelt Fancy
音楽部門	東方地霊殿	소녀 사토리 ~ 3rd eye	少女さとり　～ 3rd eye	Satori Maiden ~ 3rd eye
音楽部門	東方地霊殿	폐옥 럴러바이	廃獄ララバイ	Lullaby of Deserted Hell
音楽部門	東方地霊殿	시체여행 ~ Be of good cheer!	死体旅行　～ Be of good cheer!	Corpse Voyage ~ Be of good cheer!
音楽部門	東方地霊殿	업화 맨틀	業火マントル	Hellfire Mantle
音楽部門	東方地霊殿	영지의 태양신앙 ~ Nuclear Fusion	霊知の太陽信仰　～ Nuclear Fusion	Solar Sect of Mystic Wisdom ~ Nuclear Fusion
音楽部門	東方地霊殿	라스트 리모트	ラストリモート	Last Remote
音楽部門	東方地霊殿	하르트만의 요괴소녀	ハルトマンの妖怪少女	Hartmann's Youkai Girl
音楽部門	東方地霊殿	지령들의 귀가	地霊達の帰宅	The Earth Spirits' Homecoming
音楽部門	東方地霊殿	에너지 여명 ~ Future Dream...	エネルギー黎明 ～ Future Dream...	Energy Daybreak ~ Future Dream...
音楽部門	東方地霊殿	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	東方星蓮船	푸른 하늘의 그림자	青空の影	A Shadow in the Blue Sky
音楽部門	東方星蓮船	봄의 항구에서	春の湊に	At the Harbor of Spring
音楽部門	東方星蓮船	작디작은 현장	小さな小さな賢将	A Tiny, Tiny, Clever Commander
音楽部門	東方星蓮船	닫힌 구름의 통로	閉ざせし雲の通い路	The Sealed Cloud Route
音楽部門	東方星蓮船	만년 방치된 우산에 주의를	万年置き傘にご注意を	Beware the Umbrella Left There Forever
音楽部門	東方星蓮船	스카이 루인	スカイルーイン	Sky Ruin
音楽部門	東方星蓮船	구세대 아저씨와 하이칼라 소녀	時代親父とハイカラ少女	The Traditional Old Man and the Stylish Girl
音楽部門	東方星蓮船	유령객선의 시공을 뛰어넘는 여행	幽霊客船の時空を越えた旅	Interdimensional Voyage of a Ghostly Passenger Ship
音楽部門	東方星蓮船	캡틴 무라사	キャプテン・ムラサ	Captain Murasa
音楽部門	東方星蓮船	마계 지방도시 에소테리아	魔界地方都市エソテリア	Rural Makai City Esoteria
音楽部門	東方星蓮船	범무늬의 비사문천	虎柄の毘沙門天	The Tiger-Patterned Bishamonten
音楽部門	東方星蓮船	법계의 불	法界の火	Fires of Hokkai
音楽部門	東方星蓮船	감정의 마천루 ~ Cosmic Mind	感情の摩天楼　～ Cosmic Mind	Emotional Skyscraper ~ Cosmic Mind
音楽部門	東方星蓮船	밤하늘의 UFO 로맨스	夜空のユーフォーロマンス	UFO Romance in the Night Sky
音楽部門	東方星蓮船	헤이안의 에일리언	平安のエイリアン	Heian Alien
音楽部門	東方星蓮船	요괴사	妖怪寺	Youkai Temple
音楽部門	東方星蓮船	하늘의 돌아오는 길 ~ Sky Dream	空の帰り道　～ Sky Dream	Returning Home from the Sky ~ Sky Dream
音楽部門	東方星蓮船	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	東方非想天則	그대는 그 그림자를 보았는가	君はあの影を見たか	Did You See That Shadow?
音楽部門	東方非想天則	췌몽상	萃夢想	Forgathering Dream
音楽部門	東方非想天則	전설의 거신	伝説の巨神	The Legendary Titan
音楽部門	東方非想天則	우리들의 비상천칙	ぼくらの非想天則	Our Hisoutensoku
音楽部門	東方非想天則	인형이 있는 풍경	人形のある風景	Scenery with Dolls
音楽部門	東方非想天則	유구한 증기기관	悠久の蒸気機関	The Eternal Steam Engine
音楽部門	東方非想天則	신앙은 덧없는 인간을 위해	信仰は儚き人間の為に	Faith Is for the Transient People
音楽部門	東方非想天則	말괄량이 연랑	おてんば恋娘	Tomboyish Girl in Love
音楽部門	東方非想天則	상해홍차관 ~ Chinese Tea	上海紅茶館　～ Chinese Tea	Shanghai Scarlet Teahouse ~ Chinese Tea
音楽部門	東方非想天則	영지의 태양신앙 ~ Nuclear Fusion	霊知の太陽信仰　～ Nuclear Fusion	Solar Sect of Mystic Wisdom ~ Nuclear Fusion
音楽部門	東方非想天則	내일은 휴일, 어제는 평일	明日ハレの日、ケの昨日	Tomorrow Will Be Special, Yesterday Was Not
音楽部門	東方非想天則	이색연화접 ~ Ancients	二色蓮花蝶　～ Ancients	Dichromatic Lotus Butterfly ~ Ancients
音楽部門	東方非想天則	사랑색 매직	恋色マジック	Love-Colored Magic
音楽部門	東方非想天則	the Grimoire of Alice	the Grimoire of Alice	the Grimoire of Alice
音楽部門	東方非想天則	브와르 마법 도서관	ヴワル魔法図書館	Voile, the Magic Library
音楽部門	東方非想天則	동방요연담	東方妖恋談	Eastern Mystical Tale of Romance
音楽部門	東方非想天則	언노운 X ~ Unfound Adventure	アンノウンX　～ Unfound Adventure	Unknown X ~ Unfound Adventure
音楽部門	東方非想天則	하늘에 떠오른 물체 X	空に浮かぶ物体X	X, the Floating Object in the Sky
音楽部門	東方非想天則	거대한 그림자와 자그마한 결말	巨大な影と小さな結末	A Huge Shadow and a Tiny Conclusion
音楽部門	ダブルスポイラー	뉴스 하운드	ニュースハウンド	Newshound
音楽部門	ダブルスポイラー	당신네 마을의 괴사건	あなたの町の怪事件	The Mystery in Your Town
音楽部門	ダブルスポイラー	요괴 모던 콜로니	妖怪モダンコロニー	Youkai Modern Colony
音楽部門	ダブルスポイラー	네메시스의 요새	ネメシスの要塞	Nemesis' Stronghold
音楽部門	ダブルスポイラー	무간의 종 ~ Infinite Nightmare	無間の鐘　～ Infinite Nightmare	Bell of Avici ~ Infinite Nightmare
音楽部門	ダブルスポイラー	요괴의 산 ~ Mysterious Mountain	妖怪の山　～ Mysterious Mountain	Youkai Mountain ~ Mysterious Mountain
音楽部門	妖精大戦争	봄의 얼음요정	春の氷精	An Ice Fairy in Spring
音楽部門	妖精大戦争	귀여운 대전쟁의 리프레인	可愛い大戦争のリフレーン	The Refrain of the Lovely Great War
音楽部門	妖精大戦争	장난에 목숨을 걸고	いたずらに命をかけて	Staking Your Life on a Prank
音楽部門	妖精大戦争	언제나 정신없는 호기심	年中夢中の好奇心	Year-Round Absorbed Curiosity
音楽部門	妖精大戦争	한밤중의 페어리 댄스	真夜中のフェアリーダンス	A Midnight Fairy Dance
音楽部門	妖精大戦争	요정대전쟁 ~ Fairy Wars	妖精大戦争　～ Fairy Wars	Great Fairy Wars ~ Fairy Wars
音楽部門	妖精大戦争	루즈 레인	ルーズレイン	Loose Rain
音楽部門	妖精大戦争	메이거스 나이트	メイガスナイト	Magus Night
音楽部門	妖精大戦争	봄의 얼음요정 -조용함-	春の氷精　- 静 -	An Ice Fairy in Spring - Still -
音楽部門	妖精大戦争	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	東方神霊廟	욕심쟁이 영혼	欲深き霊魂	Spirit of Avarice
音楽部門	東方神霊廟	사령의 밤 벚꽃	死霊の夜桜	Night Sakura of Dead Spirits
音楽部門	東方神霊廟	고스트 리드	ゴーストリード	Ghost Lead
音楽部門	東方神霊廟	요괴사에 어서오세요	妖怪寺へようこそ	Welcome to Youkai Temple
音楽部門	東方神霊廟	문 앞의 요괴 소녀	門前の妖怪小娘	Youkai Girl at the Gate
音楽部門	東方神霊廟	멋진 묘지에서 살아 봅시다	素敵な墓場で暮しましょ	Let's Live in a Lovely Cemetery
音楽部門	東方神霊廟	리지드 파라다이스	リジッドパラダイス	Rigid Paradise
音楽部門	東方神霊廟	디자이어 드라이브	デザイアドライブ	Desire Drive
音楽部門	東方神霊廟	오랜 위안셴	古きユアンシェン	Old Yuanxian
音楽部門	東方神霊廟	몽전대사묘	夢殿大祀廟	The Hall of Dreams' Great Mausoleum
音楽部門	東方神霊廟	오오미와 신화전	大神神話伝	Omiwa Legend
音楽部門	東方神霊廟	작은 욕망의 별하늘	小さな欲望の星空	Starry Sky of Small Desires
音楽部門	東方神霊廟	쇼토쿠전설 ~ True Administrator	聖徳伝説　～ True Administrator	Shoutoku Legend ~ True Administrator
音楽部門	東方神霊廟	요괴 뒤쪽 참배길	妖怪裏参道	Youkai Shrine's Back Road
音楽部門	東方神霊廟	사도의 후타츠이와	佐渡の二ッ岩	Futatsuiwa from Sado
音楽部門	東方神霊廟	신사의 새로운 바람	神社の新しい風	A New Wind at the Shrine
音楽部門	東方神霊廟	디자이어 드림	デザイアドリーム	Desire Dream
音楽部門	東方神霊廟	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	東方心綺楼	봄빛 오솔길 ~ Colorful Path	春色小径　～ Colorful Path	Spring Lane ~ Colorful Path
音楽部門	東方心綺楼	메이거스 나이트	メイガスナイト	Magus Night
音楽部門	東方心綺楼	구세대 아저씨와 하이칼라 소녀	時代親父とハイカラ少女	The Traditional Old Man and the Stylish Girl
音楽部門	東方心綺楼	감정의 마천루 ~ Cosmic Mind	感情の摩天楼　～ Cosmic Mind	Emotional Skyscraper ~ Cosmic Mind
音楽部門	東方心綺楼	오오미와 신화전	大神神話伝	Omiwa Legend
音楽部門	東方心綺楼	쇼토쿠전설 ~ True Administrator	聖徳伝説　～ True Administrator	Shoutoku Legend ~ True Administrator
音楽部門	東方心綺楼	아쿠타가와 류노스케의 캇파 ~ Candid Friend	芥川龍之介の河童　～ Candid Friend	"Akutagawa Ryuunosuke's ""Kappa"" ~ Candid Friend"
音楽部門	東方心綺楼	하르트만의 요괴소녀	ハルトマンの妖怪少女	Hartmann's Youkai Girl
音楽部門	東方心綺楼	사도의 후타츠이와	佐渡の二ッ岩	Futatsuiwa from Sado
音楽部門	東方心綺楼	환상향의 후타츠이와	幻想郷の二ッ岩	Futatsuiwa from Gensokyo
音楽部門	東方心綺楼	망실의 이모션	亡失のエモーション	The Lost Emotion
音楽部門	東方心綺楼	속세불변의 페시미즘	塵界不変のペシミズム	This Dull World's Unchanging Pessimism
音楽部門	東方心綺楼	심기루 하야시	心綺楼囃子	Shinkirou Orchestra
音楽部門	東方心綺楼	인기가 있는 장소	人気のある場所	A Popular Location
音楽部門	東方心綺楼	인기가 없는 장소	人気のない場所	An Unpopular Location
音楽部門	東方心綺楼	축시 3각의 마을	丑三つ時の里	The Village in the Dead of Night
音楽部門	東方心綺楼	오늘의 1면 기사	本日の一面記事	Today's Front-Page Headline
音楽部門	東方心綺楼	새벽구름	暁雲	Morning Clouds
音楽部門	東方心綺楼	관판황혼신문	官板黄昏新聞	Officially-Sanctioned Twilight Newspaper
音楽部門	東方心綺楼	심기루제 하야시	心綺楼祭囃子	Shinkirou Festival Orchestra
音楽部門	東方心綺楼	연기자 선택	演者選択	Performer Selection
音楽部門	東方心綺楼	사용되지 않는 장소	使われなかった場所	An Unused Location
音楽部門	東方輝針城	이상한 불제봉	不思議なお祓い棒	Mysterious Purification Rod
音楽部門	東方輝針城	미스트 레이크	ミストレイク	Mist Lake
音楽部門	東方輝針城	비경의 머메이드	秘境のマーメイド	Mermaid from the Uncharted Land
音楽部門	東方輝針城	운하를 다니는 인요	運河を行き交う人妖	Humans and Youkai Traversing the Canal
音楽部門	東方輝針城	버드나무 아래의 듀라한	柳の下のデュラハン	Dullahan Under the Willows
音楽部門	東方輝針城	만월의 죽림	満月の竹林	Bamboo Forest of the Full Moon
音楽部門	東方輝針城	고독한 웨어울프	孤独なウェアウルフ	Lonesome Werewolf
音楽部門	東方輝針城	매지컬 스톰	マジカルストーム	Magical Storm
音楽部門	東方輝針城	환상 정유리	幻想浄瑠璃	Illusionary Joururi
音楽部門	東方輝針城	공중에 가라앉은 휘침성	空中に沈む輝針城	The Shining Needle Castle Sinking in the Air
音楽部門	東方輝針城	리버스 이데올로기	リバースイデオロギー	Reverse Ideology
音楽部門	東方輝針城	침소봉대의 천수각	針小棒大の天守閣	The Exaggerated Castle Keep
音楽部門	東方輝針城	빛나는 바늘의 소인족 ~ Little Princess	輝く針の小人族　～ Little Princess	Inchlings of the Shining Needle ~ Little Princess
音楽部門	東方輝針城	마력의 뇌운	魔力の雷雲	Thunderclouds of Magical Power
音楽部門	東方輝針城	원시의 비트 ~ Pristine Beat	始原のビート　～ Pristine Beat	Primordial Beat ~ Pristine Beat
音楽部門	東方輝針城	요술망치의 마력	小槌の魔力	Magical Power of the Mallet
音楽部門	東方輝針城	이상하고 이상한 도구들	不思議な不思議な道具達	Mysterious, Mysterious Tools
音楽部門	東方輝針城	플레이어즈 스코어	プレイヤーズスコア	Player's Score
音楽部門	弾幕アマノジャク	반칙의 낭연을 올려라	反則の狼煙を上げろ	Raise the Signal Fire of Cheating
音楽部門	弾幕アマノジャク	비경의 머메이드	秘境のマーメイド	Mermaid from the Uncharted Land
音楽部門	弾幕アマノジャク	불가능 탄막에는 반칙을	不可能弾幕には反則を	Cheat Against the Impossible Danmaku
音楽部門	弾幕アマノジャク	리버스 이데올로기	リバースイデオロギー	Reverse Ideology
音楽部門	弾幕アマノジャク	미드나이트 스펠카드	ミッドナイトスペルカード	Midnight Spell Card
音楽部門	弾幕アマノジャク	환상 정유리	幻想浄瑠璃	Illusionary Joururi
音楽部門	弾幕アマノジャク	로맨틱 도비행	ロマンチック逃飛行	Romantic Escape Flight
音楽部門	弾幕アマノジャク	요괴의 산 ~ Mysterious Mountain	妖怪の山　～ Mysterious Mountain	Youkai Mountain ~ Mysterious Mountain
音楽部門	弾幕アマノジャク	영원의 삼일천하	永遠の三日天下	Eternal Transient Reign
音楽部門	東方深秘録	이색연화접 ~ Red and White	二色蓮花蝶　～ Red and White	Dichromatic Lotus Butterfly ~ Red and White
音楽部門	東方深秘録	사랑색 마스터 스파크	恋色マスタースパーク	Love-Colored Master Spark
音楽部門	東方深秘録	구세대 아저씨와 하이칼라 소녀	時代親父とハイカラ少女	The Traditional Old Man and the Stylish Girl
音楽部門	東方深秘録	감정의 마천루 ~ Cosmic Mind	感情の摩天楼　～ Cosmic Mind	Emotional Skyscraper ~ Cosmic Mind
音楽部門	東方深秘録	오오미와 신화전	大神神話伝	Omiwa Legend
音楽部門	東方深秘録	쇼토쿠전설 ~ True Administrator	聖徳伝説　～ True Administrator	Shoutoku Legend ~ True Administrator
音楽部門	東方深秘録	아쿠타가와 류노스케의 캇파 ~ Candid Friend	芥川龍之介の河童　～ Candid Friend	"Akutagawa Ryuunosuke's ""Kappa"" ~ Candid Friend"
音楽部門	東方深秘録	하르트만의 요괴소녀	ハルトマンの妖怪少女	Hartmann's Youkai Girl
音楽部門	東方深秘録	환상향의 후타츠이와	幻想郷の二ッ岩	Futatsuiwa from Gensokyo
音楽部門	東方深秘録	망실의 이모션	亡失のエモーション	The Lost Emotion
音楽部門	東方深秘録	달까지 닿아라, 불사의 연기	月まで届け、不死の煙	Reach for the Moon, Immortal Smoke
音楽部門	東方深秘録	빛나는 바늘의 소인족 ~ Little Princess	輝く針の小人族　～ Little Princess	Inchlings of the Shining Needle ~ Little Princess
音楽部門	東方深秘録	마음을 들썩이는 도시전설	心揺さぶる都市伝説	Heart-Stirring Urban Legends
音楽部門	東方深秘録	환상향 불가사의 발견	幻想郷ふしぎ発見	Gensokyo Mystery Discovery
音楽部門	東方深秘録	볼이 있는 일상	ボールのある日常	An Everyday Life with Balls
音楽部門	東方深秘録	나타난 전승의 형태	顕現した伝承の形	Forms of Manifested Folklore
音楽部門	東方深秘録	시대의 풍조의 방문	時代の風の訪れ	Arrival of the Winds of the Era
音楽部門	東方深秘録	가치를 모르겠어	価値がわからない	The Value Is Unrealized
音楽部門	東方深秘録	가능성을 믿고서	可能性を信じて	Believe in Possibilities
音楽部門	東方深秘録	진실을 아는 자	真実を知る者	Those Who Know the Truth
音楽部門	東方深秘録	바깥 세계 포크로어	外界フォークロア	Outside World Folklore
音楽部門	東方深秘録	각자의 결말	各々の結末	Each Ending
音楽部門	東方深秘録	밝혀지는 심비	明かされる深秘	The Arcane Is Revealed
音楽部門	東方深秘録	오컬트 아 라 카르트	オカルトアラカルト	Occult à la Carte
音楽部門	東方深秘録	일곱 구슬 수집 쇼다운	七玉蒐集ショウダウン	Seven-Orb Collection Showdown
音楽部門	東方深秘録	공정한 쟁탈전	公正なる奪い合い	Fair Scramble
音楽部門	東方深秘録	대척점의 종	対蹠地の鐘	Bell of the Antipodes
音楽部門	東方深秘録	죽림 인 플레임	竹林インフレイム	Bamboo Forest in Flames
音楽部門	東方深秘録	꽃 틈새의 배틀필드	華狭間のバトルフィールド	Battlefield of the Flower Threshold
音楽部門	東方深秘録	라스트 오컬티즘 ~ 현세의 비술사	ラストオカルティズム　～ 現し世の秘術師	Last Occultism ~ Esotericist of the Present World
音楽部門	東方紺珠伝	우주 무녀 나타나다	宇宙巫女現る	The Space Shrine Maiden Appears
音楽部門	東方紺珠伝	잊기 어려운, 인연의 푸르름	忘れがたき、よすがの緑	Unforgettable, the Nostalgic Greenery
音楽部門	東方紺珠伝	토끼는 내려앉았다	兎は舞い降りた	The Rabbit Has Landed
音楽部門	東方紺珠伝	호수는 맑은 달빛을 비추며	湖は浄めの月光を映して	The Lake Reflects the Cleansed Moonlight
